time;username;komen;rating;label
1 bulan lalu;rani;Terimakasih untuk saler Atas amanah nya Semoga sukses selalu;5;Positif
1 bulan lalu;Sofia;alhamdulillah sampai dengan selamat, seller ramah dan amanah, sukses terus kak;5;Positif
5 bulan lalu;M;hati2 yg mo beli, pastikan brg sesuai dg kesepakatan. kmrn pas dterima memorynya cmn 4gb pdhal sesuai invoice 6gb, mouse sama TAs jg gk ada. diminta ajukan klaim, dkirim...;1;Negatif
5 bulan lalu;Abdi;Barang sdh sampai sesuai dgn deskripsi. Penjualnya ramahnya & cepat. Terima kasih seller.;5;Positif
5 bulan lalu;Ridho;untuk sejauh ini berjalan normal semoga bisa awet ,ada bonusnya menyusul terima kasi;4;Positif
6 bulan lalu;Purnama;laptop tdk bisa charge;2;Negatif
6 bulan lalu;Tria;sangat memuaskan;5;Positif
6 bulan lalu;Muji;penjual bertanggung jawab, laptop sempat rusak tp di returkan kembali. mantap, sukses selalu;4;Positif
8 bulan lalu;Baduy;produk sesuai, seller ramah, packing sm pengiriman cpt mantapp terima kasih gan ;5;Positif
8 bulan lalu;Haidar;worth it, dan cukup keren;5;Positif
9 bulan lalu;luki;fast respon dan amanah , barang aman;4;Positif
9 bulan lalu;Fandy;barang d trima dg baik , smoga gak ada kendala , dan barang awet , trimakasih .;5;Positif
9 bulan lalu;dheny;moga awet.. barang cepat sampai, blm di tes masih di luar kota;5;Positif
9 bulan lalu;Iman;produk original, seller sangat membantu saat terjadi problem;5;Positif
10 bulan lalu;Salmah;Produk sesuai dengan deskripsi. Penjual ramah dan fast response. Terima kasih!;5;Positif
10 bulan lalu;Budi;keren,barang dan keseluruhannya ok;5;Positif
10 bulan lalu;Aryani;seller nya ngerti bgt ketika minta urgent, dan seller bantu bgt.;5;Positif
10 bulan lalu;Mang;pelayanan cepat, produk sesuai;5;Positif
3 hari lalu;kristofer;barang sesuai deskripsi. berfungsi dengan baik.;5;Positif
2 bulan lalu;Imam;Keren, tidak disangka-sangka;5;Positif
5 bulan lalu;Ismail;sesuai deskripsi. penjualnya pun fast respon+fast proses. makasih. next orderan selanjutnya...;5;Positif
6 bulan lalu;Tr;Terbaik, barang sampai dan barang juga ok;5;Positif
